26.0928	10.2886
29.6938	8.09865
35.1456	4.53838
40.7345	1.03557
46.3767	-2.43875
52.0695	-5.83764
57.8207	-9.02316
63.5873	-11.9937
69.4104	-14.6609
75.2589	-16.9753
81.1607	-18.9363
87.1039	-20.6002
93.0913	-22.1808
99.1088	-23.8968
105.137	-25.7863
111.194	-27.9319
117.275	-30.2362
123.359	-32.738
129.476	-35.4073
135.582	-38.1691
141.716	-40.9646
147.846	-43.8215
153.992	-46.7202
160.152	-49.6113
166.315	-52.4723
172.461	-55.3343
178.64	-58.0861
184.809	-60.8558
190.974	-63.5366
197.138	-66.2305
203.316	-68.7825
209.503	-71.238
215.659	-73.639
221.842	-76.0188
228.012	-78.3112
234.172	-80.428
240.341	-82.4651
246.491	-84.4581
252.655	-86.382
258.799	-88.1752
264.949	-89.8656
271.099	-91.3792
277.236	-92.7702
283.384	-93.9067
289.532	-94.5702
295.683	-94.6043
301.871	-93.3172
308.085	-90.7283
314.288	-89.1341
320.417	-91.4161
326.488	-94.6638
332.559	-97.1055
338.619	-98.7173
344.674	-99.9172
350.744	-100.827
356.805	-101.652
362.853	-102.419
368.893	-103.168
374.948	-103.962
380.993	-104.644
387.027	-105.247
393.058	-105.885
399.095	-106.345
405.127	-106.848
411.156	-107.275
417.175	-107.729
423.2	-108.156
429.212	-108.494
435.218	-108.597
441.21	-108.815
447.207	-109.131
453.192	-109.443
459.19	-109.695
465.166	-109.815
471.169	-109.987
477.156	-110.165
483.137	-110.516
489.134	-110.804
495.111	-111.095
501.097	-111.424
507.079	-111.729
513.064	-111.91
519.046	-112.207
525.044	-112.338
531.028	-112.442
537.017	-112.625
543.008	-112.875
549	-113.015
554.994	-113.192
560.983	-113.364
566.971	-113.521
572.964	-113.714
578.959	-113.883
584.952	-113.976
590.942	-114.394
596.937	-114.796

